frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x
0,6,8.501825655434766,88.90373615751717,19,8,2,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,-6571.844493776304,55740.19544020791
0,7,38.34425234249382,107.82506574121552,21,8,3,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,5461.3920735862175,63346.76009697107
0,8,48.76350472449885,95.0,3,8,4,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,9662.703517943086,58190.95477386935
1,2,7.807087355145371,92.7477289420013,26,3,6,2026-02-20 06:25:20+00:00,2026-02-20 06:25:20,-6851.980905183318,57285.519172663844
1,4,32.42289234319997,102.26671324992907,22,3,8,2026-02-20 06:25:20+00:00,2026-02-20 06:25:20,3073.7469125806338,61112.2465326348
2,3,48.0,76.0,1,8,9,2026-02-20 06:29:43+00:00,2026-02-20 06:29:43,9354.83870967742,50552.763819095475
3,4,35.0,101.0,1,8,10,2026-02-20 06:34:05+00:00,2026-02-20 06:34:05,4112.903225806453,60603.01507537688
3,5,44.49236066183882,81.70285506361704,46,8,11,2026-02-20 06:34:05+00:00,2026-02-20 06:34:05,7940.4680088059795,52845.36886979579
4,3,44.73352558809743,84.58245086567392,65,8,12,2026-02-20 06:38:28+00:00,2026-02-20 06:38:28,8037.71193068445,54002.99532288399
5,5,43.155433746332065,88.69699252956585,86,8,15,2026-02-20 06:42:52+00:00,2026-02-20 06:42:52,7401.384575133899,55657.08242394607
6,3,36.0,107.0,1,8,17,2026-02-20 06:47:15+00:00,2026-02-20 06:47:15,4516.129032258064,63015.07537688442
6,4,41.95646284797817,92.91635663440334,95,8,18,2026-02-20 06:47:15+00:00,2026-02-20 06:47:15,6917.9285677331345,57353.30919976014
7,4,41.34794186018702,97.05576511273395,133,8,20,2026-02-20 06:51:37+00:00,2026-02-20 06:51:37,6672.557201688315,59017.393010144304
8,3,40.609809066575046,99.55761612940745,101,8,21,2026-02-20 06:55:49+00:00,2026-02-20 06:55:49,6374.923010715745,60023.162263078375
9,3,39.86520008398023,104.63914991171914,173,8,22,2026-02-20 07:00:12+00:00,2026-02-20 07:00:12,6074.677453217834,62065.98991425896
10,2,48.25161805367345,80.02424337963659,8,3,23,2026-02-20 07:04:34+00:00,2026-02-20 07:04:34,9456.297602287681,52170.55010236647
10,4,39.069348379133615,107.20592172980511,247,8,24,2026-02-20 07:04:34+00:00,2026-02-20 07:04:34,5753.7695077151675,63097.8579818312
11,2,44.0,83.11046137446242,2,3,25,2026-02-20 07:08:56+00:00,2026-02-20 07:08:56,7741.93548387097,53411.24075355273
11,4,37.998451048710415,111.85229568295966,213,8,26,2026-02-20 07:08:56+00:00,2026-02-20 07:08:56,5321.956068028394,64965.74700822499
12,2,61.498453397209516,75.57856213664549,10,3,27,2026-02-20 07:13:18+00:00,2026-02-20 07:13:18,14797.763466616741,50383.341562470545
12,5,38.194970496811756,113.19531853368633,226,8,29,2026-02-20 07:13:18+00:00,2026-02-20 07:13:18,5401.197780972483,65505.65569193421
13,4,36.89735570456269,113.4047040953629,124,8,30,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,4877.966009904312,65589.8307921057
13,5,35.8169271963363,133.72978466670546,65,8,31,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,4442.309353361412,73760.71745395195
13,6,49.27738018934004,69.76075952819835,11,8,32,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,9869.911366669374,48044.52644349683
14,4,34.312535543887996,144.16774006358978,70,8,33,2026-02-20 07:21:41+00:00,2026-02-20 07:21:41,3835.6998160838702,77956.8804275738
14,5,36.95839129458691,119.99650907582192,88,8,34,2026-02-20 07:21:41+00:00,2026-02-20 07:21:41,4902.577134914077,68239.8026435465
14,6,48.241676375614716,71.0,3,8,35,2026-02-20 07:21:41+00:00,2026-02-20 07:21:41,9452.288861134968,48542.71356783919
15,4,33.03560543305734,146.1442172605955,110,8,37,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,3320.8086423618324,78751.44412486251
15,5,37.25918572337429,125.64581137414162,64,8,38,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,5023.86521103802,70510.87894437854
15,6,40.531390377899804,80.58107991288813,19,8,39,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,6343.302571733792,52394.40398508066
15,8,53.58335195680345,91.8346481767325,22,8,41,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,11606.190305162681,56918.45152833468
16,5,31.92657957856655,148.5612363517195,126,8,43,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,2873.6207978090933,79723.1100911435
16,6,36.94798131507515,130.27052114691688,54,8,44,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,4898.379562530302,72370.0587525294
16,7,40.25237691407993,85.2053672086927,26,8,45,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,6230.797142774167,54253.413953243304
16,8,52.24637136188442,93.63550885053277,37,8,46,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,11067.0852265663,57642.415618304636
17,5,33.39263217483889,154.65020177987267,87,8,49,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,3464.771038241488,82170.93538889354
17,6,37.65915745177554,135.6324269622206,40,8,50,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,5185.144133780462,74525.59877878215
17,7,39.77260600673948,89.59401880106847,81,8,51,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,6037.341131749791,56017.69600042954
17,9,53.1316180665608,92.4061386222532,46,8,53,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,11424.039542968065,57148.19643105656
18,5,32.4443229506941,152.37341329452423,22,8,55,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,3082.388286570203,81255.64353548712
18,6,37.76674822897964,94.43619822743958,62,8,56,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,5228.527511685338,57964.300794950585
18,7,37.31938693301017,138.96005356431402,56,8,57,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,5048.139892342812,75863.33811630715
18,8,50.41287642717685,93.34357435794018,20,8,58,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,10327.772752893892,57525.05501826741
19,4,35.94333761504506,100.59812119903033,123,8,59,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,4493.281296389137,60441.455758404154
19,5,36.996862429711385,142.1074253231995,56,8,60,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,4918.089689399752,77128.61319525607
19,6,54.44188613275562,92.64663846642685,78,8,61,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,11952.373440627269,57244.87978549823
20,5,51.0,106.5226472936537,3,3,63,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,10564.516129032258,62823.174791418576
20,8,33.20860339498573,105.38668721640592,83,8,65,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,3390.5658850748923,62366.50742368077
20,9,36.69245799730302,144.92296953688077,55,8,66,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,4795.345966654445,78260.49026608274
20,10,36.365113613610156,162.04402656853065,3,8,67,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,4663.352263552482,85143.32726373091
20,11,41.28650268825117,95.40450160119609,14,8,68,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,6647.7833420367615,58353.5684828929
20,13,48.14101726398729,0.4787335319803535,10,8,70,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,9411.700509672295,20192.455691248386
21,1,20.0,71.0,1,3,71,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,-1935.4838709677415,48542.71356783919
21,5,34.0,84.0,1,3,73,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,3709.677419354839,53768.84422110553
21,6,41.2473888668824,97.074361809043,27,3,74,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,6632.0116398719365,59024.86906896201
21,10,32.47158809571486,112.32103597186756,48,8,76,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,3093.3822966592174,65154.185315323644
21,11,35.68066805424462,148.3143699399145,58,8,77,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,4387.366150905089,79623.86731252845
21,12,46.7974263430246,5.661716054316787,12,8,78,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,8869.929977026048,22276.06675550424
22,4,46.314883502037254,106.50666163515731,6,3,79,2026-02-20 07:59:24+00:00,2026-02-20 07:59:24,8675.356250821473,62816.74839604314
22,7,59.78792265590731,96.58051536270546,17,3,80,2026-02-20 07:59:24+00:00,2026-02-20 07:59:24,14108.033328994885,58826.33783425345
22,9,31.649502496032376,119.28040810141765,29,8,81,2026-02-20 07:59:24+00:00,2026-02-20 07:59:24,2761.896167754991,67951.92285484126
22,10,35.121490545557975,155.6177953450487,129,8,82,2026-02-20 07:59:24+00:00,2026-02-20 07:59:24,4161.891349015314,82559.91772665275
22,11,45.635233228274615,13.30320288561442,3,8,83,2026-02-20 07:59:24+00:00,2026-02-20 07:59:24,8401.303721078475,25348.02126054851
22,13,61.67918113965593,3.266415706458689,3,8,85,2026-02-20 07:59:24+00:00,2026-02-20 07:59:24,14870.637556312877,21313.13194229495
23,2,30.511331246306547,92.0270675547046,11,3,86,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,2302.9561477042535,56995.80605214255
23,9,59.32199523845892,99.44183138660564,22,3,89,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,13920.15937034634,59976.61563280629
23,11,29.76889984154006,127.0,2,8,90,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,2003.5886457822826,71055.27638190956
23,13,35.29877198432638,166.65646910774038,59,8,92,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,4233.3758001316055,86997.57552069965
23,14,38.932718700920766,109.65037933479563,6,8,93,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,5698.676895532567,64080.554506450506
23,15,44.211158585927286,19.07648615759717,10,8,94,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,7827.080074970682,27668.939158833033
23,16,58.350992641958214,1.2562608076721642,50,8,95,2026-02-20 08:04:26+00:00,2026-02-20 08:04:26,13528.626065305732,20505.02947042097
24,1,19.364427634449154,90.0,2,3,96,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,-2191.763050625341,56180.90452261307
24,2,25.6208198753982,133.3033169879811,25,3,97,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,330.9757562089526,73589.27316099743
24,3,30.21402176826701,97.46527095667562,38,3,98,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,2183.073293656053,59182.01847504548
