height,frame,idx,reflectivity,num,y,x,hdim_1,hdim_2,threshold_value,feature,time,timestr
500.0,0,1,3.6994261741638184,1,-53214.0432209903,-13847.767226858203,31.0,114.0,1.5,1,2026-01-23 22:20:14,2026-01-23 22:20:14
500.0,0,2,4.564387321472168,4,-40026.629564052266,-14233.805092292958,72.39191557336078,112.78968965455607,1.5,2,2026-01-23 22:20:14,2026-01-23 22:20:14
500.0,1,6,9.5,1,-37602.703174533555,-9701.316467725774,80.0,127.0,6.5,4,2026-01-23 22:28:53,2026-01-23 22:28:53
500.0,1,7,10.099230766296387,1,-37602.703174533555,-7468.612212808304,80.0,134.0,6.5,5,2026-01-23 22:28:53,2026-01-23 22:28:53
500.0,1,8,6.612578868865967,2,-22651.591694765506,-10339.231969130764,126.92771154356551,125.0,6.5,6,2026-01-23 22:28:53,2026-01-23 22:28:53
500.0,2,1,6.4632415771484375,1,-49709.45667994899,-10658.189719833259,42.0,124.0,1.5,7,2026-01-23 22:37:31,2026-01-23 22:37:31
500.0,2,2,1.6156796216964722,1,-49072.25912703239,-39683.34503376027,44.0,33.0,1.5,8,2026-01-23 22:37:31,2026-01-23 22:37:31
500.0,2,8,8.141729354858398,1,-39195.69705682506,-25330.246252148012,75.0,78.0,6.5,9,2026-01-23 22:37:31,2026-01-23 22:37:31
500.0,2,11,11.813630104064941,1,-41744.48726849147,-7468.612212808304,67.0,134.0,11.5,10,2026-01-23 22:37:31,2026-01-23 22:37:31
500.0,2,12,13.874358177185059,36,-26401.764385625556,-16718.270151780234,115.15687948780936,105.00036629114723,11.5,11,2026-01-23 22:37:31,2026-01-23 22:37:31
500.0,3,5,2.0617892742156982,1,-20079.770469327006,-48295.20430272762,135.0,6.0,1.5,13,2026-01-23 22:46:10,2026-01-23 22:46:10
500.0,3,9,9.009143829345703,1,-20716.968022243607,-43191.88029148771,133.0,22.0,6.5,14,2026-01-23 22:46:10,2026-01-23 22:46:10
500.0,3,11,14.993735313415527,64,-27657.66006535776,-17688.970987201566,111.21494445060253,101.95701389327198,11.5,15,2026-01-23 22:46:10,2026-01-23 22:46:10
500.0,3,12,13.288677215576172,1,-21991.36312807681,-10339.231969130764,129.0,125.0,11.5,16,2026-01-23 22:46:10,2026-01-23 22:46:10
500.0,4,1,1.7929850816726685,1,-51621.049338698795,-41597.09153797524,36.0,27.0,1.5,17,2026-01-23 22:54:48,2026-01-23 22:54:48
500.0,4,2,1.6541955471038818,1,-49072.25912703239,-40002.302784462765,44.0,32.0,1.5,18,2026-01-23 22:54:48,2026-01-23 22:54:48
500.0,4,3,2.4996132850646973,1,-40788.69093911657,-17356.30248458564,70.0,103.0,1.5,19,2026-01-23 22:54:48,2026-01-23 22:54:48
500.0,4,12,11.432793617248535,26,-30102.61858950075,-19146.198935318454,103.54084553747317,97.38829610884007,11.5,22,2026-01-23 22:54:48,2026-01-23 22:54:48
500.0,4,14,17.680561065673828,2,-22528.90892534655,-10339.231969130764,127.31278135074668,125.0,11.5,24,2026-01-23 22:54:48,2026-01-23 22:54:48
500.0,5,6,9.123918533325195,54,-31503.038471212996,-21126.826759754433,99.14528602754663,91.17860902622894,6.5,28,2026-01-23 23:03:27,2026-01-23 23:03:27
500.0,6,1,2.0,2,-42222.65175582392,-7468.612212808304,65.49916408139428,134.0,1.5,30,2026-01-23 23:12:14,2026-01-23 23:12:14
500.0,6,5,4.201642036437988,6,-35254.48429880709,-16037.614491411034,87.3704579214974,107.13436572796944,1.5,33,2026-01-23 23:12:14,2026-01-23 23:12:14
500.0,6,9,1.969078779220581,1,-25814.548445576424,-31390.443515495408,117.0,59.0,1.5,37,2026-01-23 23:12:14,2026-01-23 23:12:14
500.0,6,13,10.7169189453125,15,-33119.37555391251,-22169.167416795506,94.07201769717979,87.91065063755411,6.5,40,2026-01-23 23:12:14,2026-01-23 23:12:14
500.0,7,1,1.8090234994888306,1,-55125.635879740104,-12571.936224048222,25.0,118.0,1.5,41,2026-01-23 23:22:01,2026-01-23 23:22:01
500.0,7,2,1.7583249807357788,1,-54169.83955036521,-14485.682728263193,28.0,112.0,1.5,42,2026-01-23 23:22:01,2026-01-23 23:22:01
500.0,7,3,5.0,1,-51621.049338698795,-10658.189719833259,36.0,124.0,1.5,43,2026-01-23 23:22:01,2026-01-23 23:22:01
500.0,7,17,1.7946373224258423,21,-33846.70016882283,-23234.938953294808,91.78913192154812,84.56923148673563,1.5,57,2026-01-23 23:22:01,2026-01-23 23:22:01
