frame,idx,reflectivity,num,cell,y,x,timestr,hdim_1,hdim_2,threshold_value,feature,time,time_cell
24,7,10.5,1,28,6129.032258064517,49346.73366834171,2026-02-20 08:09:17,40.0,73.0,4.168228268623352,99,2026-02-20 08:09:17+00:00,0 days 00:00:00
25,10,10.386439323425293,15,14,-2847.9206406599933,75937.00424805027,2026-02-20 08:14:32,17.737156811163217,139.14329806702506,9.168228268623352,110,2026-02-20 08:14:32+00:00,0 days 00:48:16
25,15,15.543693542480469,2,28,6129.032258064517,52292.285297529255,2026-02-20 08:14:32,40.0,80.32705967760403,14.168228268623352,112,2026-02-20 08:14:32+00:00,0 days 00:05:15
26,8,13.78549861907959,26,14,-2938.551774086997,78506.5703584115,2026-02-20 08:19:24,17.512391600264248,145.53509376654858,9.168228268623352,117,2026-02-20 08:19:24+00:00,0 days 00:53:08
26,14,17.472021102905273,6,28,6015.847044355772,53629.758972830285,2026-02-20 08:19:24,39.71930067000231,83.65402544491533,14.168228268623352,120,2026-02-20 08:19:24+00:00,0 days 00:10:07
27,11,12.112486839294434,27,14,-4136.1041133675435,79584.90766470373,2026-02-20 08:24:26,14.54246179884849,148.21745781595052,9.168228268623352,125,2026-02-20 08:24:26+00:00,0 days 00:58:10
27,19,14.760234832763672,5,28,5587.940462756384,55237.589698298354,2026-02-20 08:24:26,38.65809234763583,87.65350437451715,14.168228268623352,129,2026-02-20 08:24:26+00:00,0 days 00:15:09
28,8,10.007036209106445,5,14,-4805.66033495811,81180.64829583172,2026-02-20 08:29:17,12.881962369303887,152.1868626358814,9.168228268623352,131,2026-02-20 08:29:17+00:00,0 days 01:03:01
28,16,16.183521270751953,6,28,5034.240405418575,57659.15055883648,2026-02-20 08:29:17,37.284916205438066,93.67713701510574,14.168228268623352,135,2026-02-20 08:29:17+00:00,0 days 00:20:00
29,13,11.079412460327148,2,14,-6185.822373035499,82496.1449306018,2026-02-20 08:34:09,9.459160514871963,155.45916051487197,9.168228268623352,140,2026-02-20 08:34:09+00:00,0 days 01:07:53
29,27,17.196928024291992,11,28,5931.897302187468,58392.70252613893,2026-02-20 08:34:09,39.51110530942492,95.50184753377057,14.168228268623352,150,2026-02-20 08:34:09+00:00,0 days 00:24:52
30,23,18.897804260253906,2,28,6306.776822524832,58190.95477386935,2026-02-20 08:39:11,40.44080651986158,95.0,14.168228268623352,163,2026-02-20 08:39:11+00:00,0 days 00:29:54
