frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,reflectivity
0,2,30.97304241103486,97.60495285216243,12,4.168228268623352,1,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,2489.1300044495406,59238.172000869316,8.221336364746094
0,6,0.0,83.63052162015917,3,9.168228268623352,2,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,-10000.0,53620.310199058964,9.604900360107422
0,7,38.54679430067105,107.92833338123404,14,9.168228268623352,3,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,5543.062218012522,63388.27472612424,13.831001281738281
0,8,48.67406906778165,95.0,2,9.168228268623352,4,2026-02-20 06:20:57+00:00,2026-02-20 06:20:57,9626.640753137764,58190.95477386935,15.541532516479492
1,1,7.887995281729702,92.4923699019186,14,4.168228268623352,5,2026-02-20 06:25:20+00:00,2026-02-20 06:25:20,-6819.3567412380235,57182.86227212808,7.554722785949707
1,2,33.488693529816366,103.27898192034517,5,4.168228268623352,6,2026-02-20 06:25:20+00:00,2026-02-20 06:25:20,3503.5054555711163,61519.18871169655,5.815764427185059
2,3,48.0,76.0,1,9.168228268623352,7,2026-02-20 06:29:43+00:00,2026-02-20 06:29:43,9354.83870967742,50552.763819095475,9.514695167541504
3,4,35.0,101.0,1,9.168228268623352,8,2026-02-20 06:34:05+00:00,2026-02-20 06:34:05,4112.903225806453,60603.01507537688,17.500001907348633
3,7,44.217208016831044,82.08182634877717,21,14.168228268623352,9,2026-02-20 06:34:05+00:00,2026-02-20 06:34:05,7829.519361625423,52997.7191351868,23.93500328063965
4,8,44.25486894472467,84.89868844711953,31,14.168228268623352,12,2026-02-20 06:38:28+00:00,2026-02-20 06:38:28,7844.705219647047,54130.12600889227,24.249771118164062
5,6,42.60998687295489,87.63698629011176,45,14.168228268623352,15,2026-02-20 06:42:52+00:00,2026-02-20 06:42:52,7181.446319739876,55230.94926235649,23.06095314025879
6,1,33.44455688398186,101.88626478172834,50,4.168228268623352,16,2026-02-20 06:47:15+00:00,2026-02-20 06:47:15,3485.7084209604286,60959.30242481541,4.072756767272949
6,6,41.662762312610226,92.38437743862666,60,14.168228268623352,17,2026-02-20 06:47:15+00:00,2026-02-20 06:47:15,6799.500932504124,57139.44821653333,24.612777709960938
7,6,41.097880265265054,96.8041867531032,81,14.168228268623352,19,2026-02-20 06:51:37+00:00,2026-02-20 06:51:37,6571.725913413328,58916.25598114701,24.850605010986328
8,5,40.30669080654788,99.6524362701936,94,14.168228268623352,20,2026-02-20 06:55:49+00:00,2026-02-20 06:55:49,6252.69790586608,60061.28091264065,22.279056549072266
9,5,39.88908610069566,104.46904543474729,137,14.168228268623352,21,2026-02-20 07:00:12+00:00,2026-02-20 07:00:12,6084.30891157083,61997.60620492353,20.82856559753418
10,2,48.36752122301905,79.93201315421558,8,4.168228268623352,22,2026-02-20 07:04:34+00:00,2026-02-20 07:04:34,9503.032751217359,52133.47262481029,5.059875965118408
10,6,39.73389938212417,105.05648334750279,154,14.168228268623352,23,2026-02-20 07:04:34+00:00,2026-02-20 07:04:34,6021.7336218242635,62233.76214974987,13.909708023071289
11,2,44.0,83.0,1,4.168228268623352,24,2026-02-20 07:08:56+00:00,2026-02-20 07:08:56,7741.93548387097,53366.83417085427,8.5
11,6,39.63767436732485,107.41058864297638,99,14.168228268623352,25,2026-02-20 07:08:56+00:00,2026-02-20 07:08:56,5982.933212630988,63180.136137879956,21.25737190246582
11,7,38.0,123.70207746407507,2,14.168228268623352,26,2026-02-20 07:08:56+00:00,2026-02-20 07:08:56,5322.580645161292,69729.47837751763,15.274215698242188
12,2,61.609773104716226,75.68725302718948,8,4.168228268623352,27,2026-02-20 07:13:18+00:00,2026-02-20 07:13:18,14842.650445450092,50427.03639284,2.9184906482696533
12,7,39.51095881785399,109.75122094024671,83,14.168228268623352,29,2026-02-20 07:13:18+00:00,2026-02-20 07:13:18,5931.838233005641,64121.09384532532,22.611366271972656
13,3,61.49918625104773,76.88995599930962,10,4.168228268623352,30,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,14798.058972196668,50910.53507509935,7.047224998474121
13,6,35.0,138.7640569183697,3,9.168228268623352,31,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,4112.903225806453,75784.54549482198,9.715713500976562
13,8,49.33811717843896,69.62836035081266,9,9.168228268623352,33,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,9894.402088080227,47991.30064354278,12.216217994689941
13,10,36.95149538758998,113.10644084075463,70,14.168228268623352,34,2026-02-20 07:17:36+00:00,2026-02-20 07:17:36,4899.796527254024,65469.92596613252,23.068801879882812
14,3,53.18470085899497,75.7711736015821,91,4.168228268623352,35,2026-02-20 07:21:41+00:00,2026-02-20 07:21:41,11445.443894756037,50460.77330716868,5.937711238861084
14,8,34.15040756947199,144.3815837420855,49,9.168228268623352,39,2026-02-20 07:21:41+00:00,2026-02-20 07:21:41,3770.325632851608,78042.84773551176,11.932610511779785
14,11,37.50946353409743,120.30953240986487,31,14.168228268623352,40,2026-02-20 07:21:41+00:00,2026-02-20 07:21:41,5124.783683103802,68365.64116979492,14.622509002685547
15,5,32.99623098542403,146.17062427195924,87,9.168228268623352,41,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,3304.931848961303,78762.06000882784,13.189289093017578
15,11,39.02537148403941,126.22420286297655,12,14.168228268623352,43,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,5736.036888725569,70743.39813586997,16.809001922607422
15,12,39.51716669634652,81.0,2,14.168228268623352,44,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,5934.341409817146,52562.81407035176,20.98486328125
15,13,49.003480377846635,92.0,2,14.168228268623352,45,2026-02-20 07:26:16+00:00,2026-02-20 07:26:16,9759.467894293,56984.92462311558,17.396236419677734
16,5,32.14788657835676,148.63789453349656,90,9.168228268623352,46,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,2962.8574912728886,79753.92745065189,12.606249809265137
16,6,37.29039807477079,130.14843511380616,46,9.168228268623352,47,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,5036.450836601127,72320.97894022359,13.433857917785645
16,10,40.35314720014419,85.20403498845324,20,14.168228268623352,48,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,6271.430322638787,54252.87838731789,24.01917839050293
16,11,52.97380672317099,93.7470267597941,12,14.168228268623352,49,2026-02-20 07:31:04+00:00,2026-02-20 07:31:04,11360.405936762496,57687.2469386107,21.5
17,4,33.28773723318443,154.4534710113402,41,9.168228268623352,50,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,3422.4746908001744,82091.84764274984,10.085589408874512
17,6,37.886929731038926,135.0227437896831,28,9.168228268623352,51,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,5276.987794773761,74280.500015953,11.213147163391113
17,10,39.0943479627565,90.14219780141637,41,14.168228268623352,53,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,5763.84998498246,56238.06946790608,26.108043670654297
17,11,52.458519913784926,92.64133167761419,10,14.168228268623352,54,2026-02-20 07:35:28+00:00,2026-02-20 07:35:28,11152.628997493923,57242.746403060984,17.538616180419922
18,8,37.37963631647393,137.70059541882733,27,9.168228268623352,58,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,5072.433998578197,75357.0232839507,13.029829978942871
18,9,50.6404275968393,93.29329373534733,12,9.168228268623352,59,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,10419.527256790041,57504.84170265219,12.608052253723145
18,11,37.374790469318086,94.79758894369422,35,14.168228268623352,60,2026-02-20 07:40:06+00:00,2026-02-20 07:40:06,5070.480027950842,58109.58349495246,21.928842544555664
19,2,25.753313227126192,154.0,3,4.168228268623352,62,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,384.4004948089488,81909.54773869348,4.395602703094482
19,5,36.394844908310574,172.5996970288133,8,4.168228268623352,63,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,4675.340688834909,89386.81287590486,5.6990580558776855
19,8,37.14136378633469,141.3895968519546,35,9.168228268623352,64,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,4976.356365457538,76840.03893545913,13.094791412353516
19,11,35.352289109445834,100.85216858266867,70,14.168228268623352,65,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,4254.955286066869,60543.5853598668,23.592403411865234
19,12,50.731300161589616,92.82027640018237,13,14.168228268623352,66,2026-02-20 07:45:08+00:00,2026-02-20 07:45:08,10456.169419995813,57314.68397997281,18.347475051879883
20,5,51.0,107.0,1,4.168228268623352,68,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,10564.516129032258,63015.07537688442,6.28493595123291
20,9,36.77003679130914,144.35297348057892,40,9.168228268623352,70,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,4826.627738431104,78031.3461228458,12.964638710021973
20,14,32.80429712960213,106.03598951079546,58,14.168228268623352,72,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,3227.5391651621517,62627.533471676565,21.415000915527344
20,15,41.0,95.20786429423666,2,14.168228268623352,73,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,6532.258064516129,58274.51830924087,17.764205932617188
20,16,47.735094397982884,0.30350105977532504,4,14.168228268623352,74,2026-02-20 07:49:39+00:00,2026-02-20 07:49:39,9248.021934670518,20122.010476291587,18.769948959350586
21,3,39.5831506157817,97.15290903242537,8,4.168228268623352,75,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,5960.947828944233,59056.445842181056,8.447903633117676
21,8,35.833270181826,147.8218117629503,40,9.168228268623352,77,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,4448.899266865324,79425.8539750554,13.591920852661133
21,9,46.851611771488905,5.843171119273133,10,9.168228268623352,78,2026-02-20 07:54:32+00:00,2026-02-20 07:54:32,8891.778940116494,22349.013515285682,12.164743423461914
