datetime,median_background_noise,mean_background_noise,std_dev,iqr,percent_covered,ref_thresholds,x_min,x_max,y_min,y_max,z_min,z_max,grid_diagonal,xshape,yshape,zshape,wspd_avg,wdir_avg,segmentation_threshold,sigma_threshold,min_distance, success
20260124_014146Z,-1.5,-0.5058594942092896,4.233285903930664,4.511445254087448,1.7892130857648096,"[1.5, 6.5, 11.5]",-45865.172220439854,-7468.612212808304,-58076.89429694992,-15300.78882245249,0,2500,57481.22319492669,130,145,26,5.905,40.905,-5,0.5,2000.0, 2
20260220_062057Z,2.8558640480041504,4.1504364013671875,6.586203098297119,8.987266778945923,8.386688715513342,"[5.85586404800415, 10.85586404800415, 15.85586404800415]",39549.688021682145,99526.809647819,-7603.792021601888,22396.207978398113,1300,1700,67061.57706583117,132,67,5,6.803333333333334,271.73333204339417,2,0.25,5000.0, 2
20260220_113235Z,4.976557731628418,5.667407989501953,5.813049793243408,7.624195694923401,47.878062430046015,"[7.976557731628418, 12.976557731628418, 17.976557731628418]",39549.688021682145,98283.19631434651,-1256.4187265357668,28743.58127346423,1300,1700,65951.6868348678,129,66,5,7.859230769230769,257.0766588906219,8,0.25,5000.0, 1
20260220_163058Z,3.6992506980896,4.025949478149414,4.6671528816223145,6.625528544187546,44.73311357853342,"[6.6992506980896, 11.6992506980896, 16.6992506980896]",39549.688021682145,99155.43270900962,-3714.305842077416,26285.694157922582,1300,1700,66729.63958939735,131,66,5,10.12,262.800087970383,10,0.25,5000.0, 0
