frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,reflectivity
0,1,38.0,134.0,1,1.5,1,2026-01-24 01:41:46+00:00,2026-01-24 01:41:46,-57791.16465863454,-26947.79116465863,2.068519353866577
0,2,75.14018072463281,103.0,2,1.5,2,2026-01-24 01:41:46+00:00,2026-01-24 01:41:46,-45858.57647401356,-36907.63052208835,5.212188243865967
0,5,143.0,49.0,1,6.5,3,2026-01-24 01:41:46+00:00,2026-01-24 01:41:46,-24056.22489959839,-54257.0281124498,8.0
1,1,47.44177083198683,175.2893703863205,3,1.5,4,2026-01-24 01:50:32+00:00,2026-01-24 01:50:32,-54757.66398972311,-13682.129996362886,4.685146331787109
1,2,77.39644172680319,102.64809449059372,5,1.5,5,2026-01-24 01:50:32+00:00,2026-01-24 01:50:32,-45133.673340786125,-37020.69253314258,2.7966997623443604
1,4,101.63845395800855,129.61600537404763,13,1.5,7,2026-01-24 01:50:32+00:00,2026-01-24 01:50:32,-37345.07503357155,-28356.30349428188,6.5
1,5,222.56739799199264,36.0,3,1.5,8,2026-01-24 01:50:32+00:00,2026-01-24 01:50:32,1507.5977484313678,-58433.73493975904,4.540491104125977
2,1,152.0,71.0,1,1.5,9,2026-01-24 01:59:09+00:00,2026-01-24 01:59:09,-21164.65863453815,-47188.75502008032,0.0979836955666542
3,2,35.0,132.0,1,1.5,10,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-58755.02008032129,-27590.361445783128,2.5
3,3,36.0,150.06000049278,2,1.5,11,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-58433.73493975904,-21787.951648906022,4.0
3,4,75.22751385487581,104.2287676742639,10,1.5,12,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-45830.51763698769,-36512.84572714412,4.499999523162842
3,8,36.0,107.0,1,6.5,14,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-58433.73493975904,-35622.48995983935,6.265877723693848
3,11,132.49755320413996,162.49755320413996,2,11.5,15,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-27430.504994653824,-17791.95077778636,16.82185173034668
4,3,127.46430383805624,157.7887791712134,14,6.5,16,2026-01-24 02:16:42+00:00,2026-01-24 02:16:42,-29047.613224720884,-19304.80990483103,11.216153144836426
5,1,75.09881240903866,108.69186169944649,9,1.5,17,2026-01-24 02:25:28+00:00,2026-01-24 02:25:28,-45871.867499104046,-35078.91993592081,3.5649728775024414
5,4,124.0,152.0,1,6.5,18,2026-01-24 02:25:28+00:00,2026-01-24 02:25:28,-30160.642570281125,-21164.65863453815,7.538651466369629
6,1,75.75518400266262,104.25268485535547,10,1.5,19,2026-01-24 02:34:14+00:00,2026-01-24 02:34:14,-45660.9850593855,-36505.16149225527,3.8248701095581055
6,2,116.31057856266357,148.15715696827706,41,1.5,20,2026-01-24 02:34:14+00:00,2026-01-24 02:34:14,-32631.139417618127,-22399.306998143915,3.747708320617676
7,1,36.0,154.22834708889727,3,1.5,21,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-58433.73493975904,-20448.723826860314,4.274764537811279
7,2,45.57836910892977,175.29585946530935,11,1.5,22,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-55356.34727423944,-13680.04515170784,7.221062660217285
7,3,66.38285807636213,91.84258679431603,4,1.5,23,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-48672.174112012166,-40492.341592187615,5.55706787109375
7,4,75.15466558510542,106.4894732409206,7,1.5,24,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-45853.92270358059,-35786.51462139097,3.1548690795898438
7,6,111.39703272194821,143.64049887814508,91,1.5,26,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-34209.78868371142,-23850.442127503586,4.4885478019714355
8,1,36.0,155.0,1,1.5,27,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,-58433.73493975904,-20200.803212851402,5.0
8,2,49.93004604252164,178.05863463084808,6,1.5,28,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,-53958.21813894887,-12792.406544305837,7.161935329437256
8,3,106.14257087547959,140.0244169466543,151,1.5,29,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,-35897.96919663306,-25012.235519147212,6.244331359863281
8,4,249.0,49.0,1,1.5,30,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,10000.0,-54257.0281124498,0.8722290396690369
9,3,58.0,96.18027371506527,2,1.5,31,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-51365.46184738955,-39098.70724013967,6.797921180725098
9,4,73.10383540737968,108.0,3,1.5,32,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-46512.82396550051,-35301.2048192771,3.261247158050537
9,5,101.07183621926627,136.75132991493763,175,1.5,33,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-37527.12089340843,-26063.829746204778,5.527952671051025
9,6,249.0,53.00810502305607,5,1.5,34,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,10000.0,-52969.28352672897,4.51170539855957
9,11,41.0,105.0,1,11.5,36,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-56827.30923694779,-36265.06024096385,17.507652282714844
10,1,76.0,100.0,1,1.5,37,2026-01-24 03:09:20+00:00,2026-01-24 03:09:20,-45582.329317269076,-37871.4859437751,2.7324233055114746
10,2,78.0,99.0,1,1.5,38,2026-01-24 03:09:20+00:00,2026-01-24 03:09:20,-44939.75903614458,-38192.77108433735,3.4162487983703613
10,3,97.19241813495701,135.60579951441392,126,1.5,39,2026-01-24 03:09:20+00:00,2026-01-24 03:09:20,-38773.52027792546,-26431.871641955368,5.35576057434082
10,5,140.0,44.71175665322037,2,1.5,41,2026-01-24 03:09:20+00:00,2026-01-24 03:09:20,-25020.08032128514,-55634.77697888503,2.4710755348205566
11,1,35.0,133.0,1,1.5,42,2026-01-24 03:18:06+00:00,2026-01-24 03:18:06,-58755.02008032129,-27269.07630522088,2.022397994995117
11,2,51.0,99.33842605760519,2,1.5,43,2026-01-24 03:18:06+00:00,2026-01-24 03:18:06,-53614.4578313253,-38084.039820849735,4.0
