height,frame,idx,reflectivity,num,y,x,hdim_1,hdim_2,threshold_value,feature,time,timestr
500.0,1,1,6.707775115966797,1,21487.117069307205,61068.19730739537,64.0,47.0,5.030693531036377,1,2026-02-20 06:25:20,2026-02-20 06:25:20
500.0,4,4,10.561115264892578,2,7850.7534329435675,53216.19868742204,34.0,29.84993025126672,10.030693531036377,2,2026-02-20 06:38:28,2026-02-20 06:38:28
500.0,4,5,10.277523040771484,1,10123.48070567084,44128.094252684954,39.0,10.0,10.030693531036377,3,2026-02-20 06:38:28,2026-02-20 06:38:28
500.0,5,7,20.106338500976562,9,7487.028755798075,55158.95635232993,33.19980571027992,34.093235818501995,15.030693531036377,6,2026-02-20 06:42:52,2026-02-20 06:42:52
500.0,6,5,9.5,1,10123.48070567084,45043.77549888552,39.0,12.0,5.030693531036377,10,2026-02-20 06:47:15,2026-02-20 06:47:15
500.0,6,6,8.874603271484375,2,22396.207978398113,50696.63875896201,66.0,24.346792693487885,5.030693531036377,11,2026-02-20 06:47:15,2026-02-20 06:47:15
500.0,6,10,16.286521911621094,10,6724.963441328873,55575.400735085845,31.523262018447674,35.0028195507972,15.030693531036377,12,2026-02-20 06:47:15,2026-02-20 06:47:15
500.0,7,2,9.148751258850098,1,8305.298887489022,45043.77549888552,35.0,12.0,5.030693531036377,13,2026-02-20 06:51:37,2026-02-20 06:51:37
500.0,7,6,16.08555793762207,20,6276.724434436189,57497.2459980446,30.53713620328377,39.200448957172114,15.030693531036377,14,2026-02-20 06:51:37,2026-02-20 06:51:37
500.0,8,5,17.663860321044922,20,5886.131097403778,57704.76234592537,29.677830861812467,39.653699143832185,15.030693531036377,16,2026-02-20 06:55:49,2026-02-20 06:55:49
500.0,9,8,15.950211524963379,18,5960.297259608867,62650.49460956403,29.84099641866366,50.456000237493335,15.030693531036377,20,2026-02-20 07:00:12,2026-02-20 07:00:12
500.0,10,8,16.912975311279297,9,5552.2733923190735,63003.442072452664,28.943343910626115,51.22689614554674,15.030693531036377,24,2026-02-20 07:04:34,2026-02-20 07:04:34
500.0,11,7,15.152155876159668,3,7374.294399490525,61657.640533107595,32.95179012640331,48.28744195244362,15.030693531036377,30,2026-02-20 07:08:56,2026-02-20 07:08:56
500.0,12,9,11.661759376525879,1,5123.48070567084,70682.85039250128,28.0,68.0,10.030693531036377,35,2026-02-20 07:13:18,2026-02-20 07:13:18
500.0,12,13,21.115747451782227,4,6599.770643723186,63382.889359959554,31.247837863715162,52.05567207402912,15.030693531036377,38,2026-02-20 07:13:18,2026-02-20 07:13:18
