height,frame,idx,reflectivity,num,y,x,hdim_1,hdim_2,threshold_value,feature,time,timestr
500.0,0,1,0.5206724405288696,2,-3707.749244662645,40460.185963884884,0.014205961065336493,1.9857940389346636,2.938491329550743,1,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,3,2.163675546646118,5,-2859.78056663446,49155.955226949925,1.8514714301264057,20.951247958325016,2.938491329550743,3,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,17,4.142926216125488,4,5147.907833896487,76175.97614038554,19.201462964610123,79.8818550193157,2.938491329550743,16,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,37,5.8097028732299805,2,13824.155696384123,39692.83983212221,38.0,0.31221378836603403,2.938491329550743,33,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,64,3.154494047164917,1,23516.463388691816,73937.61764898646,59.0,75.0,2.938491329550743,56,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,73,8.030576705932617,2,3619.9652256013355,51012.33123078358,15.890920646637294,25.0,7.938491329550743,62,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,76,8.045644760131836,1,5516.4633886918145,57889.917156244446,20.0,40.0,7.938491329550743,65,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,83,10.25899887084961,2,9670.309542537969,63044.351014642314,29.0,51.24180907573133,7.938491329550743,70,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,87,9.923744201660156,1,16593.386465614894,62016.46871152097,44.0,49.0,7.938491329550743,73,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,88,11.891531944274902,2,20747.232619461043,66852.18518006652,53.0,59.5466871391102,7.938491329550743,74,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,89,8.451363563537598,1,22131.848004076433,59265.434341336615,56.0,43.0,7.938491329550743,75,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,91,23.945140838623047,4,1381.752042988396,41096.0344986018,11.041458750975925,3.372578315296073,12.938491329550743,76,2026-02-20 16:30:58,2026-02-20 16:30:58
500.0,0,98,15.0,2,14992.15409398681,49636.81404569141,40.530663194805825,22.0,12.938491329550743,83,2026-02-20 16:30:58,2026-02-20 16:30:58
