height,frame,idx,reflectivity,num,cell,y,x,timestr,hdim_1,hdim_2,threshold_value,feature,time,time_cell,ncells,median_background_noise,mean_background_noise,std_dev,iqr,percent_covered,sigma_threshold,segmentation_threshold
1100.0,5,14,9.970489501953125,2,-1,8573.893940385411,79011.26390581601,2026-02-20 11:54:09,21.299010778329215,86.0,7.659246444702148,162,2026-02-20 11:54:09,,5.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,5,23,10.244542121887207,1,-1,28743.58127346423,81764.39710703466,2026-02-20 11:54:09,65.0,92.0,7.659246444702148,169,2026-02-20 11:54:09,,2.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,5,25,13.150731086730957,1,-1,-1256.4187265357668,86352.95244239905,2026-02-20 11:54:09,0.0,102.0,12.659246444702148,170,2026-02-20 11:54:09,,8.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,5,35,25.700410842895508,14,22,7606.778390800302,61717.98957646567,2026-02-20 11:54:09,19.203593754228148,48.31215913193954,17.65924644470215,174,2026-02-20 11:54:09,0 days 00:08:36,52.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,5,39,21.0,1,-1,25512.812042695004,88647.23011008126,2026-02-20 11:54:09,58.0,107.0,17.65924644470215,178,2026-02-20 11:54:09,,97.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,6,2,8.149517059326172,1,-1,-1256.4187265357668,88647.23011008126,2026-02-20 11:58:32,0.0,107.0,7.659246444702148,179,2026-02-20 11:58:32,,4.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,6,10,7.705416679382324,1,-1,8435.888965771926,81764.39710703466,2026-02-20 11:58:32,21.0,92.0,7.659246444702148,184,2026-02-20 11:58:32,,1.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,6,16,8.5,1,-1,20435.888965771926,91859.21884483634,2026-02-20 11:58:32,47.0,114.0,7.659246444702148,189,2026-02-20 11:58:32,,10.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,6,23,13.0,1,-1,128.19665807961792,41385.110155827904,2026-02-20 11:58:32,3.0,4.0,12.659246444702148,193,2026-02-20 11:58:32,,8.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,6,32,17.34990692138672,7,-1,26093.391367448392,91248.93116082928,2026-02-20 11:58:32,59.25792187029901,112.66997858933175,12.659246444702148,200,2026-02-20 11:58:32,,96.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
