frame,idx,reflectivity,num,cell,y,x,timestr,hdim_1,hdim_2,threshold_value,feature,time,time_cell
3,11,16.82185173034668,2,12,-27430.504994653824,-17791.95077778636,2026-01-24 02:07:56,132.49755320413996,162.49755320413996,11.5,15,2026-01-24 02:07:56+00:00,0 days 00:00:00
4,3,11.216153144836426,14,12,-29047.613224720884,-19304.80990483103,2026-01-24 02:16:42,127.46430383805624,157.7887791712134,6.5,16,2026-01-24 02:16:42+00:00,0 days 00:08:46
5,4,7.538651466369629,1,12,-30160.642570281125,-21164.65863453815,2026-01-24 02:25:28,124.0,152.0,6.5,18,2026-01-24 02:25:28+00:00,0 days 00:17:32
6,2,3.747708320617676,41,12,-32631.139417618127,-22399.306998143915,2026-01-24 02:34:14,116.31057856266357,148.15715696827706,1.5,20,2026-01-24 02:34:14+00:00,0 days 00:26:18
7,6,4.4885478019714355,91,12,-34209.78868371142,-23850.442127503586,2026-01-24 02:43:01,111.39703272194821,143.64049887814508,1.5,26,2026-01-24 02:43:01+00:00,0 days 00:35:05
8,3,6.244331359863281,151,12,-35897.96919663306,-25012.235519147212,2026-01-24 02:51:47,106.14257087547959,140.0244169466543,1.5,29,2026-01-24 02:51:47+00:00,0 days 00:43:51
9,5,5.527952671051025,175,12,-37527.12089340843,-26063.829746204778,2026-01-24 03:00:34,101.07183621926627,136.75132991493763,1.5,33,2026-01-24 03:00:34+00:00,0 days 00:52:38
10,3,5.35576057434082,126,12,-38773.52027792546,-26431.871641955368,2026-01-24 03:09:20,97.19241813495701,135.60579951441392,1.5,39,2026-01-24 03:09:20+00:00,0 days 01:01:24
11,6,3.5122783184051514,31,12,-40090.45755335683,-26780.093956943987,2026-01-24 03:18:06,93.09345086517689,134.52195755901184,1.5,46,2026-01-24 03:18:06+00:00,0 days 01:10:10
12,3,2.067742347717285,11,12,-41104.10307974213,-27798.882254299595,2026-01-24 03:26:52,89.9384791643026,131.3509789834925,1.5,51,2026-01-24 03:26:52+00:00,0 days 01:18:56
13,6,2.6520426273345947,7,12,-43753.291716986605,-29486.111412582577,2026-01-24 03:35:38,81.69287953087918,126.09947822833672,1.5,57,2026-01-24 03:35:38+00:00,0 days 01:27:42
