frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,reflectivity
0,2,9.60809527139932,183.66934583763276,9,5.0,1,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,6374.231964273919,93836.92294980212,6.809825420379639
0,3,11.0,35.0,1,5.0,2,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,6935.483870967742,34070.35175879397,7.2590556144714355
0,4,31.775091793664142,127.95364907125716,10,5.0,3,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,15312.53701357425,71438.6528929677,5.564945220947266
0,5,30.0,143.0,1,5.0,4,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,14596.774193548388,77487.43718592965,5.79243803024292
0,6,39.34121249090514,157.96869284892114,29,5.0,5,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,18363.39213342949,83505.00215032006,6.430913925170898
0,7,39.015085102749474,54.0,2,5.0,6,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,18231.889154334465,41708.54271356784,5.956718444824219
0,8,47.52429096562598,80.40420027780964,4,5.0,7,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,21663.020550655638,52323.296594094325,5.606200695037842
0,9,52.94085650290295,137.38532499966144,20,5.0,8,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,23847.119557622158,75230.28140689907,6.760417461395264
0,11,2.5493261107299894,71.55381678995418,235,10.0,9,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,3527.954076907254,48765.35348339867,10.675531387329102
0,14,5.927310657314771,144.53216288028727,3,10.0,12,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,4890.044619884989,78103.38206242706,10.992729187011719
0,16,16.32320842010426,78.05971124993675,66,10.0,14,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,9081.9388790743,51380.78844218563,9.607263565063477
0,18,19.133521601101855,104.72073165988989,69,10.0,15,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,10215.129677863652,62098.78659694066,10.477751731872559
0,20,30.43617438644307,75.17431345896216,5,10.0,17,2026-02-20 16:30:58+00:00,2026-02-20 16:30:58,14772.650962275433,50220.82953124107,16.16526985168457
