height,frame,idx,reflectivity,num,y,x,hdim_1,hdim_2,threshold_value,feature,time,timestr
500.0,0,1,10.152216911315918,1,1512.8120426950027,70751.86430216009,6.0,68.0,5.760443449020386,1,2026-02-20 11:32:35,2026-02-20 11:32:35
500.0,0,3,7.020445346832275,2,13051.273581156542,43562.4761479238,31.0,8.74521027416787,5.760443449020386,3,2026-02-20 11:32:35,2026-02-20 11:32:35
500.0,0,8,6.368651390075684,3,28109.211632794457,80119.30119352994,63.625532445215484,88.41478462550988,5.760443449020386,7,2026-02-20 11:32:35,2026-02-20 11:32:35
500.0,0,10,11.190443992614746,1,13051.273581156542,64786.742366186365,31.0,55.0,10.760443449020386,8,2026-02-20 11:32:35,2026-02-20 11:32:35
500.0,1,1,9.682251930236816,4,2161.0886243112145,71894.69556775354,7.404599260168459,70.49061236504123,5.760443449020386,9,2026-02-20 11:36:48,2026-02-20 11:36:48
500.0,1,7,8.660811424255371,1,17205.119735002692,65704.45343325924,40.0,57.0,5.760443449020386,12,2026-02-20 11:36:48,2026-02-20 11:36:48
500.0,1,8,6.961551189422607,3,21187.02823011608,77640.16080349188,48.627468406079004,83.01190679393808,5.760443449020386,13,2026-02-20 11:36:48,2026-02-20 11:36:48
500.0,1,9,4.698369026184082,3,26719.433547778943,78330.68236890004,60.61434659434853,84.51678472378731,5.760443449020386,14,2026-02-20 11:36:48,2026-02-20 11:36:48
500.0,1,16,16.01253890991211,1,8435.888965771926,45973.66549119231,21.0,14.0,15.760443449020386,18,2026-02-20 11:36:48,2026-02-20 11:36:48
500.0,2,1,7.63672399520874,1,-1256.4187265357668,82223.2526405711,0.0,93.0,5.760443449020386,19,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,2,2,5.898382186889648,1,-1256.4187265357668,83140.96370764397,0.0,95.0,5.760443449020386,20,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,2,3,8.58401870727539,2,2435.8889657719255,73721.62980256786,8.0,74.4721143875492,5.760443449020386,21,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,2,7,8.969649314880371,3,21683.041740965054,79681.14751327666,49.70216434625178,87.45990090235549,5.760443449020386,23,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,2,8,6.5,1,27820.50435038731,80846.68603996179,63.0,90.0,5.760443449020386,24,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,2,9,10.0,1,28282.04281192577,82223.2526405711,64.0,93.0,5.760443449020386,25,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,2,12,13.444127082824707,2,14234.149652848366,47149.665491656866,33.562898155332284,16.56289815533228,10.760443449020386,27,2026-02-20 11:41:11,2026-02-20 11:41:11
500.0,3,2,7.193892002105713,2,-1256.4187265357668,84346.88414830535,0.0,97.6281048228126,5.760443449020386,29,2026-02-20 11:45:33,2026-02-20 11:45:33
500.0,3,3,6.017783164978027,2,5666.658196541156,79138.58068564818,15.0,86.27746593541309,5.760443449020386,30,2026-02-20 11:45:33,2026-02-20 11:45:33
500.0,3,6,7.188060283660889,2,27358.96588884885,83931.8897579969,62.0,96.72369295463692,5.760443449020386,32,2026-02-20 11:45:33,2026-02-20 11:45:33
500.0,3,9,13.176336288452148,1,13974.350504233464,48726.79869241095,33.0,20.0,10.760443449020386,34,2026-02-20 11:45:33,2026-02-20 11:45:33
500.0,4,6,13.4805269241333,1,10743.581273464233,53774.2095613118,26.0,31.0,10.760443449020386,37,2026-02-20 11:49:56,2026-02-20 11:49:56
